Pytanie;Poprawna odpowiedz; druga opcja; trzecia opcja; czwarta opcja;
Ile procent obietości całego ciała stanowi woda u doroslego czlowieka;60-70%;10-20%;80-90%;30-40%;
Z ilu kości składa sie szkielet dorosłego człowieka;206;187;301;454;
Czy szkielet dziecka posiada tyle samo kosci co szkielet doroslego czlowieka;Nie, posiada wiecej;Tak, posiada tyle samo;Nie, posiada mniej;Szkielet dziecka przypomina szkielet psa;
Ile litrów krwi ma w sobie człowiek o przeciętnej masie ciała;ok.5-6l;ok.7,5l;ok.3-4l;ok.2l;
Ile kregów ma człowiek;33 lub 34;40 lub 41;30;24 lub 26;
Ile par żeber ma człowiek;12;10;24;16;
Ile zebów ma dorosły człowiek;32;tyle ile u zostanie;36;28;
Jak nazywają sie krwinki czerwone;erytrocyty;trombocyty;lekocyty;limfacyty;
Ile bakterii żyje na cm kwadratowym skóry człowieka;10 mln;0,5mln;5mln;3mln;
Ile wlosow znajduje sie na głowie przecietnego człowieka;100-150 tysiecy;50-100 tysiecy;200-250 tysiecy;600-800 tysiecy;
Najmniejsza kosc w organięąĹźmie człowieka to;strzemiączko;kość skroniowa;kość łokciowa;kość śródstopia;
Najwieksza kość w organięąĹźmie człowieka to;kość udowa;kość piszczelowa;kość ramienna;kość strzalkowa;
Czy serce człowieka jest unerwione;tak;serce człowieka to tylko krew;nie;serce człowieka to tkanka tłuszczowa;
Ile mieśni posiada człowiek;ok.650;ok.250;o.1500;ok.100;
Ile uderzeń na minutę wynosi średni puls przeciętnego człowieka;60-90;120-140;30-40;220-240;
Ile martwej skóry zrzuca człowiek w ciągu całego życia;ok.18 kg;ok.2 kg;ok.20 kg;ok.12 kg;
Najgrubszym i najdłuższym nerwem ludzkiego organizmu jest;nerw kulszowy;nerw udowy;nerw pośladkowy;nerw zasłonowy;
Do szkieletu klatki piersiowej nie nalezy;obojczyk; mostek;żebra;kręgi klatki pieriowej;
Ile par nerwów rdzeniowych występuje u człowieka;31;12;43;15
Od jakich słów rozpoczyna się każda część Gwiezdnych Wojen;Dawno,dawno temy w odległej galaktyce;Dawno, dawno temu w gwiezdnej galaktyce;Dawno, dawno temu w oddalonej galaktyce;Dawno. dawno temu na odległej planecie;
Wielu przedstawicieli jakiej rasy zgineło, by dostarczyć rebeliantom plany drugiej Gwiazdy śmierci;Bothan;Ithorian;Alfów;Twi'lekow;
Którego z łowców nagród nie wynajął Darth Vader do odnalezienia Sokoła Millenium;Beeboxa;Battlefierda;Dengara;Bosska;
Jak nazywa się lider zespołu, który grał w kantynie Mos Eisley, gdy przybyli do niej Luke i Obi-Wan;Figrin D'an;Modal Node;Los Sliders;Danmar;
Jak nazywał się negocjator Guaviańskiego Gangu śmierci w Ă˘â‚¬ĹľPrzebudzeniu MocyĂ˘â‚¬ĹĄ;Bal-Tik;Tik-Bala;Bella-Tag;Bela-Tih;
Który z Sithów jest autorem tzw. zasady dwóch;Darth Bane;Darth Vader;Darth Maul;Darth Plagueis;
W jaki sposób Han Solo stał się posiadaczem Sokoła Millennium;wygrał go w Sabacca od Lando Calrissiana;ukradł go;kupił go na pchlim targu;dostał w prezencie od przyjaciół;
Jak miał na imię szaman ewoków, który sprzeciwiał się udzieleniu pomocy rebeliantom;Logray;Teebo;Pedo;Paploo;
Jak rozwija się skrót myśliwca w nazwie słynnych myśliwców Imperium;Twin Ion Engines;Turbo Indrustrial Edge;Two Intergalactic Engines; Turbo Iom Edge;
Z jakiej planety pochodzi Chewbacca;Kashyyyk;Klaaasyk;Kashy;Kashyyk;
W jakiej odległości od Ziemi znajduje się kosmos;100km;10000km;200km;5000km;
średnia odległość na księżyc wynosi;400000km;5000000km;20000km;500km;
Planeta która znajduje się najbliżej Słońca to;Merkury;Ziemia;Mars;Wenus;
Ile czasu trzeba lecieć w statku kosmicznym by dolecieć na Księżyc;3 dni;14 dni;1 dzień;7dni;
Co ile lat kometa Halleya okrąża Słońce;76;67;100;1000;
Co kryje się w środku galaktyki;czarna dziura;ognista planeta;kosmiczne mleko;kwazar;
Jaki dystans pokonuje światło w ciągu roku; 10 bilionów km;5 milionów km;20 miliardów km; 10 tysięcy km;
Najbliższy układ słoneczny to;Alfa Centauri;Vega;Glise;Episilon Eridani;
Na której planecie w naszym układzie słonecznym rok jest krótszy niż dzień;Wenus;Jowisz;Uran;Neptun;
Najgorętsza planeta w naszym układzie słonecznym to;Wenus;Mars;Saturn;Merkury;
Co to jest Koniunkcja;Ustawienie się kilku lub wszystkich planet w jednej linii;Zderzenie planety z asteroidą;Inna nazwa zaćmienia;Zderzenie dwóch galaktyk;
Czym jest czarna dziura;szczątkami martwej gwiazdy;pozostałościami po planecie;przyszłą gwiazdą;teleportem;
Kiedy powstał wszechświat;13.9 mld lat temu;10 mld lat temu;28mld lat temu;2 mld lat temu;
Największą planetą w układzie słonecznym jest;Jowisz;Uran;Mars;Saturn;
Co znajduje się między orbitą Marsa a Jowisza;pas planetoid;sonda;meteor;czarna dziura;
Która z wymienionych niżej cech jest prawidłowa, gdy chcemy opisać mózg gadów;pojawienie się kory mózgowej;14 par nerwów czaszkowych;brak esowatego wygięcia;wszystkie części mózgowia znajodują się w ułożeniu liniowym;
Jakie pióra tworzą powierzchnię lotną skrzydła ptaków;lotki 1 i 2 rzędu;sterówki oraz lotki 1 rzędu;pióra pokrywowe oraz lotki 2 rzędu;pióra puchowe oraz sterówki;
Jak nazywamy ogon lisa;kita;pędzel;kiść;łopata;
Rudel to;stado saren;zęby jelenia;ogon dzika;przysmak borsuka;
Kiedy jelenie gubią to poroże;luty-kwiecień;nie gubią;lipiec-sierpień;przez cały rok;
Górne kły dzika to;fajki;kolce;szable;grandle;
Okres godowy jeleni nazywany jest;rykowiskiem;buchtowiskiem;bekowiskiem;hukowiskiem;
Samiec wilka to;basior;pies;odyniec;basista;
Ulubionym przysmakiem dzika są;żołędzie;szyszki modrzewia;orzechy laskowe;pędy sosny;
Jak odróżnić kunę domową od kuny leśnej;kolorem plamki na szyi;kolorem oczu;ilością pazurków;odcieniem sierści;
Ile procent powierzchni Polski zajmują lasy;30%;5%;72%;50%;
Żyzną glebą jes;czarnoziem;gleba górska;gleba bagienna;gleba bielicowa;
W którym roku powstało Księstwo Warszawskie;1807;1901;1410;1815;
Pod jakimi zaborami znajdowała się Polska;Ruskimi, Austriackimi, Pruskimi;Ruskimi, Austriackimi, Czeskimi;Ruskimi, Pruskimi, Tureckimi;Tureckimi; Austriackimi,Czeskimi;
Jakie znaczenie miała Bitwa Warszawska "Cud nad Wisłą";Powstrzymanie inwazji Bolszewizmu nad Europą;Wyzwolenie się od okupacji Austri;Odzyskanie niepodległości;Powstrzymanie Hitlera przed dalszą ekspansją;
Chrzest Polski miał miejsce w roku;996;896;698;1001;
Kryptonim ,,godzina W'' oznaczał porę;wybuchu powstania warszawskiego;ataku III Rzeszy na Polskę;zamachu na Hitlera;podpisania aktu kapitulacji III Rzeszy;
Ile powstań przeprowadzili Polacy będąc pod zaborami;4;1;żadnego;5;
Kto jest autorem hymnu narodowego "Mazurek Dąbrowskiego";Józef Wybicki;Stanisław August Poniatowski;Jan Henryk Dąbrowski;Tadeusz Kościuszko;
Co za dużo to;niezdrowo;niedobrze;za mało;w sam raz;
Koniec języka za...;przewodnika;zęby;wojownika;kłamstwo;
Co w kobiecym sercu na dnie;to i diabeł nie odgadnie;to u głupiego na ustach;to na talerzu;tylko Bóg wie;
Gdy Wielki Piątek ponury;Wielkanoc bez chmury;na majówkę w góry;rzadkie będą urodzaje;dobry rok przed nami;
Baba z wozu;konią lżej;chłop na wóz;tej zimy nie będzie mrozu;konią cięzej;
Jak nazywał się samochód, którym poleciał Ron i Harry do Hogwartu;Ford Anglia;Skoda;Audi;BMW;
Kto otworzył Komnatę Tajemnic po raz pierwszy;Tom Ridle; Harry Potter;Lisa Autman;Ginny Weasley;
Jakie zaklęcie usiłował rzucić Lockhart na Harrego i Rona podczas pobytu w Komnacie Tajemnic;Obliviate;Crucio;Rictusempra;nie chciał rzucić żadnego zaklęcia;
Kim był Syriusz Black;ojcem chrzestnym Harrego;kotem;mordercą;wilkołakiem;
Kto wrzucił nazwisko Harrego do Czary Ognia;Barty Crouch Junior;Ron;On sam;Alastor Moody;
Kim była Dolores Umbridge przed pracą w Hogwarcie;Starszy podsekretarz Ministra Magii;Auror;Sprzątaczką;Minister Magii;
Jak nazywało się tajne stowarzyszenie, gdzie uczniowie uczyli się obrony przed czarną magią;Gwardia Dumbledore;OPCM;Młodzi magicy;Brygada Inkwizycyjna;
Jak nazywały się stworzenia, które zaatakowały Harrego i Dumbledore w Jaskini;Inferiusy;Gumisie;Gumochłony;Chochliki;
Kto był Ministrem Magii podczas panowania Voldemorta;Pius Thicknesse;Korneliusz Knot;Lord Kłak;Rufus Scrimgeour;
Jak nazywały się dzieci Harrego i Ginny;Lilly Luna, James, Albus Severus;Hannahh,James,Alan;Victioire, Bella;Scorpius, Rose;
Co to jest fotosynteza?;Jest to samo odżywianie się roślin;Jest to jedzenie tak zwanych "chloroplastów", które rośliny wchłaniają przez aparaty szparkowe;liście sałaty;zielony barwnik;
Jakie ma funkcje liść;odżywia całą rośline;chroni przed wiatrem;Pobiera wodę z powietrza;Utrzymuje wodę w roślinie;
Jakie ma funkcję korzeń;Pobiera wodę z solami mineralnymi z gleby;Odprowadza toksyny z liści;Trzymają roślinę w ziemi;Pomaga liścią w fotosyntezie;
Proces fotosyntezy u roślin zachodzi w;Chloroplastach;Jądrach;Wodniczkach;Mitochondriach;
Fosforylacja fotosyntetyczna zachodzi;w fazie jasnej fotosyntezy;w fazie jasnej i ciemnej fotosyntezy;w żadnej z faz;w fazie ciemnej fotosyntezy;
Czego symbolem jest Mg;magnezu;wapnia;manganu;fosforanu wapnia;
Czego nigdy nie wolno robić z kwasem;nie wlewać wody do kwasu; nie wlewać kwasu do wody;Nie łączyć go z zasadą;nie mieszać go z solą;
Który z podanych procesów jest reakcją chemiczną;spalanie węgla;rąbanie drzewa;mielenie kawy;mycie naczyń;
Ile jest grup w tablicy Mendelejewa;18;8;6;16;
Wzór sumaryczny metanu to;CH4;C4H10;C2H6;C2H2;
W którym wieku została zbudowana wieża Eiffla;XIX;XIV;XVIII;XX;
W jakiej epoce została zbudowana katedra Notre Dame w Paryżu;średniowiecze;Starożytność,Renesans;Barok;
Wielki Mur Chiński ma długość;ok. 2400km;ok. 100km;ok. 5300km;ok. 3500km;
Stonehenge - najsłynniejsza europejska budowla megalityczna, pochodząca z epoki neolitu oraz brązu, znajduje się w;Anglii;Norwegii;Irlandii;Szkocji;
Najsłynniejsza starożytna osada odnaleziona w Polsce nosi nazwę;Biskupin;Łużyce;Biskupiec;Gołdap;
